rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
-5025562857975149833	63426K000	comp	1148	0	5649	90	0	763	12315	0	0	0	2046	0	37101	3284	0	43513	4	0	53
-5025562857975149833	63426K000	phase-1	47	0	6085	0	0	150	6132	537	0	215	0	0	1288	584	0	7738	4	0	53
-5843495416241995736	63426K000	comp	985	0	6603	60	0	917	12315	42	0	45	2197	0	35127	3284	0	42692	4	0	52
-5843495416241995736	63426K000	phase-1	289	0	5843	30	0	59	6132	265	0	413	0	0	1277	584	0	7592	4	0	52
5694868678511409995	63426K000	comp	1275	0	5102	60	0	720	12315	0	0	0	1949	0	36049	3284	0	41871	4	0	51
5694868678511409995	63426K000	phase-1	0	0	6132	0	0	0	6132	584	0	698	0	0	616	584	0	7446	4	0	51
5111195811822994797	63426K000	comp	1010	0	4998	60	0	729	12315	0	0	0	2214	0	35323	3284	0	41050	4	0	50
5111195811822994797	63426K000	phase-1	169	0	5963	48	0	90	6132	367	0	687	0	0	560	584	0	7300	4	0	50
-6169532649852302182	63426K000	comp	1066	0	5706	120	0	720	12315	0	0	0	2098	0	33803	3284	0	40229	4	0	49
-6169532649852302182	63426K000	phase-1	172	0	5960	0	0	150	6132	412	0	73	0	0	971	584	0	7154	4	0	49
-1782466964123969572	63426K000	comp	1216	0	6358	90	0	719	12315	0	0	0	1978	0	32331	3284	0	39408	4	0	48
-1782466964123969572	63426K000	phase-1	231	0	5901	22	0	227	6132	331	0	134	0	0	746	584	0	7008	4	0	48
6802844026563419272	63426K000	comp	1340	0	5543	120	0	960	12315	7	0	4	1817	0	32080	3284	0	38587	4	0	47
6802844026563419272	63426K000	phase-1	584	0	5521	0	0	0	6132	0	0	515	0	0	826	584	0	6862	4	0	47
5086654115216342560	63426K000	comp	849	0	4970	90	0	761	12315	0	0	0	2345	0	32035	3284	0	37766	4	0	46
5086654115216342560	63426K000	phase-1	438	0	5694	0	0	60	6132	146	0	140	0	0	822	584	0	6716	4	0	46
8552898714322622292	63426K000	comp	1313	0	4416	120	0	557	12315	0	0	0	1851	0	31972	3284	0	36945	4	0	45
