Type 	Enabled	Priority	Quantity	DemandIndex	StartDay	Duration	Overlap	SRC	SourceFirst	DemandGroup	Vignette	Operation	Category	Is 1_8	OITitle	Include	IsHoot	StochasticDuration	DependencyClass	Group	
DemandRecord	true	1.0	1.0	1.0	1.0	17.0	45.0	Widget-A	Mixture-Initial	A	A 0	A 0-Initial	Saucy	0.0	The Widget	true	Hoot			A_Dipper	
DemandRecord	true	1.0	4.0	1.0	18.0	43.0	45.0	Widget-A	Mixture-Initial	A	A 1	A 1-Initial	Saucy	0.0	The Widget	true	Hoot			A_Dipper	
DemandRecord	true	1.0	4.0	1.0	61.0	13.0	45.0	Widget-A	Mixture-Saucy	A	A 1	A 1-Saucy	Saucy	0.0	The Widget	true	Hoot			A_Dipper	
DemandRecord	true	1.0	4.0	1.0	74.0	40.0	45.0	Widget-A	Mixture-Saucy	A	A 2	A 2	Saucy	0.0	The Widget	true	Hoot			A_Dipper	
DemandRecord	true	1.0	4.0	1.0	114.0	32.0	45.0	Widget-A	Mixture-Saucy	A	A 3	A 3	Saucy	0.0	The Widget	true	Hoot			A_Dipper	
DemandRecord	true	1.0	4.0	1.0	146.0	368.0	45.0	Widget-A	Mixture-Saucy	A	A 4	A 4	Saucy	0.0	The Widget	true	Hoot			A_Dipper	
DemandRecord	true	1.0	3.0	1.0	514.0	88.0	45.0	Widget-A	Mixture-Saucy	A	A 5	A 5	Saucy	0.0	The Widget	true	Hoot			A_Dipper	
DemandRecord	true	1.0	2.0	1.0	602.0	280.0	45.0	Widget-A	Mixture-Saucy	A	A 6	A 6	Saucy	0.0	The Widget	true	Hoot			A_Dipper	
DemandRecord	true	1.0	2.0	1.0	1.0	60.0	45.0	Widget-A	Mixture-Foo-Hoot	Foo	A-Pi	A-Pi-Initial	Saucy	0.0	The Widget	true	Hoot		Pi	A_Dipper	
DemandRecord	true	1.0	2.0	1.0	61.0	84.0	45.0	Widget-A	Mixture-Foo-Hoot	Foo	A-Pi	A-Pi-Saucy	Saucy	0.0	The Widget	true	Hoot		Pi	A_Dipper	
DemandRecord	true	1.0	2.0	1.0	1.0	60.0	45.0	Widget-A	Mixture-Initial	Dollar	Dracula-1	Dracula-1-Initial	Saucy	0.0	The Widget	true	Hoot			Dollar	
DemandRecord	true	1.0	2.0	1.0	61.0	3180.0	45.0	Widget-A	Mixture-Saucy	Dollar	Dracula-1	Dracula-1-Saucy	Saucy	0.0	The Widget	true	Hoot			Dollar	
DemandRecord	true	1.0	1.0	1.0	3241.0	1440.0	45.0	Widget-A	Mixture-Saucy	Dollar	Dracula-2	Dracula-2-Saucy	Saucy	0.0	The Widget	true				Dollar	
DemandRecord	true	1.0	1.0	1.0	49.0	12.0	45.0	Widget-A	Mixture-Initial	Ipsum1	Ipsum1 1	Ipsum1 1-Initial	Saucy	0.0	The Widget	true				Ipsum1_Dipper	
