Type	CompositeName	CompositionType	Period	Policy
PolicyScheduleRecord	ACSchedule	Periodic	PreSurge	AC13
PolicyScheduleRecord	ACSchedule	Periodic	Surge	AC11
PolicyScheduleRecord	ACSchedule	Periodic	PostSurge	AC12
PolicyScheduleRecord	RCSchedule	Periodic	PreSurge	RC15
PolicyScheduleRecord	RCSchedule	Periodic	Surge	RC12
PolicyScheduleRecord	RCSchedule	Periodic	PostSurge	RC14
PolicyScheduleRecord	ACScheduleLoose	Periodic	PreSurge	AC13Loose
PolicyScheduleRecord	ACScheduleLoose	Periodic	Surge	AC11
PolicyScheduleRecord	ACScheduleLoose	Periodic	PostSurge	AC12Loose
PolicyScheduleRecord	RCScheduleLoose	Periodic	PreSurge	RC15Loose
PolicyScheduleRecord	RCScheduleLoose	Periodic	Surge	RC12
PolicyScheduleRecord	RCScheduleLoose	Periodic	PostSurge	RC14Loose
PolicyScheduleRecord	ACBinary	Periodic	PreSurge	AC13
PolicyScheduleRecord	ACBinary	Periodic	Surge	AC11
PolicyScheduleRecord	RCScheduleMyles	Periodic	PreSurge	RC15
PolicyScheduleRecord	RCScheduleMyles	Periodic	Surge	AC11
PolicyScheduleRecord	RCScheduleMyles	Periodic	PostSurge	RC14
PolicyScheduleRecord	ScheduleBuster	Periodic	First	AC13
PolicyScheduleRecord	ScheduleBuster	Periodic	Second	AC12
PolicyScheduleRecord	ScheduleBuster	Periodic	Third	AC11
PolicyScheduleRecord	ScheduleBuster	Periodic	Fourth	AC12Loose
PolicyScheduleRecord	ScheduleBuster	Periodic	Fifth	AC13Loose
PolicyScheduleRecord	ACTAA	Periodic	PreSurge	AC13
PolicyScheduleRecord	ACTAA	Periodic	Surge	AC11
PolicyScheduleRecord	ACTAA	Periodic	PostSurge	AC12Loose
PolicyScheduleRecord	RCTAA	Periodic	PreSurge	RC15
PolicyScheduleRecord	RCTAA	Periodic	Surge	RC12
PolicyScheduleRecord	RCTAA	Periodic	PostSurge	RC14Loose
PolicyScheduleRecord	ACEnablerTAA	Periodic	PreSurge	AC13_Enabler
PolicyScheduleRecord	ACEnablerTAA	Periodic	Surge	AC11
PolicyScheduleRecord	ACEnablerTAA	Periodic	PostSurge	AC12Loose_Enabler
PolicyScheduleRecord	RCEnablerTAA	Periodic	PreSurge	RC15_Enabler
PolicyScheduleRecord	RCEnablerTAA	Periodic	Surge	RC12
PolicyScheduleRecord	RCEnablerTAA	Periodic	PostSurge	RC14Loose_Enabler
PolicyScheduleRecord	RCTAA_Floating3Year	Periodic	PreSurge	RC15
PolicyScheduleRecord	RCTAA_Floating3Year	Periodic	Surge	RC12
PolicyScheduleRecord	RCTAA_Floating3Year	Periodic	PostSurge	RC14Loose_3Year
PolicyScheduleRecord	RCTAA_Floating3Year_Enabler	Periodic	PreSurge	RC15_Enabler
PolicyScheduleRecord	RCTAA_Floating3Year_Enabler	Periodic	Surge	RC12
PolicyScheduleRecord	RCTAA_Floating3Year_Enabler	Periodic	PostSurge	RC14Loose_3Year_Enabler
PolicyScheduleRecord	RCTAA_ReMob	Periodic	PreSurge	RC15
PolicyScheduleRecord	RCTAA_ReMob	Periodic	Surge	RC12
PolicyScheduleRecord	RCTAA_ReMob	Periodic	PostSurge	RC14ReMob
PolicyScheduleRecord	RCTAA_ReMob_Enabler	Periodic	PreSurge	RC15_Enabler
PolicyScheduleRecord	RCTAA_ReMob_Enabler	Periodic	Surge	RC12
PolicyScheduleRecord	RCTAA_ReMob_Enabler	Periodic	PostSurge	RC14ReMob_Enabler
PolicyScheduleRecord	ACTAA1519	Periodic	PreSurge	FFGACRoto
PolicyScheduleRecord	ACTAA1519	Periodic	Surge	MaxUtilization
PolicyScheduleRecord	ACTAA1519_Enabler	Periodic	PreSurge	FFGACRoto_Enabler
PolicyScheduleRecord	ACTAA1519_Enabler	Periodic	Surge	MaxUtilization_Enabler
PolicyScheduleRecord	RCTAA1519	Periodic	PreSurge	FFGRCRoto
PolicyScheduleRecord	RCTAA1519	Periodic	Surge	NearMaxUtilization
PolicyScheduleRecord	RCTAA1519_Enabler	Periodic	PreSurge	FFGRCRoto_Enabler
PolicyScheduleRecord	RCTAA1519_Enabler	Periodic	Surge	NearMaxUtilization_Enabler
PolicyScheduleRecord	MissionPoolTAA1519	Periodic	PreSurge	FFGMission
PolicyScheduleRecord	MissionPoolTAA1519	Periodic	Surge	MaxUtilization
PolicyScheduleRecord	MissionPoolTAA1519_Enabler	Periodic	PreSurge	FFGMission_Enabler
PolicyScheduleRecord	MissionPoolTAA1519_Enabler	Periodic	Surge	FFGMission_Enabler
PolicyScheduleRecord	OpSustainmentPoolTAA1519	Periodic	PreSurge	RCOpSus
PolicyScheduleRecord	OpSustainmentPoolTAA1519	Periodic	Surge	NearMaxUtilization
PolicyScheduleRecord	ACExcursion	Periodic	PreSurge	AC13
PolicyScheduleRecord	ACExcursion	Periodic	Surge	MaxUtilization
PolicyScheduleRecord	ACExcursion	Periodic	PostSurge	AC12Loose
PolicyScheduleRecord	RCExcursion	Periodic	PreSurge	RC15
PolicyScheduleRecord	RCExcursion	Periodic	Surge	NearMaxUtilization_Enabler
PolicyScheduleRecord	RCExcursion	Periodic	PostSurge	RC14Loose
PolicyScheduleRecord	ACEnablerExcursion	Periodic	PreSurge	AC13_Enabler
PolicyScheduleRecord	ACEnablerExcursion	Periodic	Surge	MaxUtilization_Enabler
PolicyScheduleRecord	ACEnablerExcursion	Periodic	PostSurge	AC12Loose_Enabler
PolicyScheduleRecord	RCEnablerExcursion	Periodic	PreSurge	RC15_Enabler
PolicyScheduleRecord	RCEnablerExcursion	Periodic	Surge	NearMaxUtilization_Enabler
PolicyScheduleRecord	RCEnablerExcursion	Periodic	PostSurge	RC14Loose_Enabler
PolicyScheduleRecord	ACUnconstrained	Sequential	Sequential	MaxUtilization
PolicyScheduleRecord	RCUnconstrained	Sequential	Sequential	MaxUtilization, NearMaxUtilization
PolicyScheduleRecord	ACUnconstrained_Enabler	Sequential	Sequential	MaxUtilization_Enabler
