DeploymentID	Location	Demand	DwellBeforeDeploy	BogBudget	CycleTime	DeployInterval	DeployDate	FillType	FillCount	UnitType	DemandType	DemandGroup	Unit	Policy	AtomicPolicy	Component	Period	FillPath	PathLength	FollowOn	FollowOnCount	DeploymentCount
1	Available	1_R3_SRC3_[1...2521]	694	270	694	1	1/15/2013	Primary	1	SRC3	SRC3	UnGrouped	300_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
2	Available	1_R25_SRC3_[1...541]	687	270	687	1	1/15/2013	Primary	2	SRC3	SRC3	V1	299_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
3	Available	1_R25_SRC3_[1...541]	680	270	680	1	1/15/2013	Primary	3	SRC3	SRC3	V1	298_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
4	Available	2_R1_SRC3_[1...91]	673	270	673	1	1/15/2013	Primary	4	SRC3	SRC3	UnGrouped	297_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
5	Available	2_R1_SRC3_[1...91]	666	270	666	1	1/15/2013	Primary	5	SRC3	SRC3	UnGrouped	296_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
6	Available	2_R2_SRC3_[1...2521]	659	270	659	1	1/15/2013	Primary	6	SRC3	SRC3	UnGrouped	295_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
7	OS_NotDeployable	NotUtilized	1825	270	1825	34	2/17/2013	Primary	7	SRC3	SRC3	NotUtilized	200_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
8	OS_NotDeployable	NotUtilized	1825	270	1825	43	2/26/2013	Primary	8	SRC3	SRC3	NotUtilized	199_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
9	OS_NotDeployable	NotUtilized	1825	270	1825	52	3/7/2013	Primary	9	SRC3	SRC3	NotUtilized	198_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
10	OS_NotDeployable	NotUtilized	1825	270	1825	61	3/16/2013	Primary	10	SRC3	SRC3	NotUtilized	197_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
11	OS_NotDeployable	NotUtilized	1825	270	1825	70	3/25/2013	Primary	11	SRC3	SRC3	NotUtilized	196_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
12	OS_NotDeployable	NotUtilized	1825	270	1825	79	4/3/2013	Primary	12	SRC3	SRC3	NotUtilized	195_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
13	Available_NotDeployable	NotUtilized	730	270	730	79	4/3/2013	Primary	13	SRC3	SRC3	NotUtilized	294_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
14	Available_NotDeployable	NotUtilized	730	270	730	86	4/10/2013	Primary	14	SRC3	SRC3	NotUtilized	293_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
15	OS_NotDeployable	NotUtilized	1825	270	1825	88	4/12/2013	Primary	15	SRC3	SRC3	NotUtilized	194_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
16	Available_NotDeployable	NotUtilized	730	270	730	93	4/17/2013	Primary	16	SRC3	SRC3	NotUtilized	292_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
17	OS_NotDeployable	NotUtilized	1825	270	1825	97	4/21/2013	Primary	17	SRC3	SRC3	NotUtilized	193_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
18	Available_NotDeployable	NotUtilized	730	270	730	100	4/24/2013	Primary	18	SRC3	SRC3	NotUtilized	291_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
19	OS_NotDeployable	NotUtilized	1825	270	1825	106	4/30/2013	Primary	19	SRC3	SRC3	NotUtilized	192_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
20	Available_NotDeployable	NotUtilized	730	270	730	107	5/1/2013	Primary	20	SRC3	SRC3	NotUtilized	290_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
21	Available_NotDeployable	NotUtilized	730	270	730	114	5/8/2013	Primary	21	SRC3	SRC3	NotUtilized	289_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
22	OS_NotDeployable	NotUtilized	1825	270	1825	115	5/9/2013	Primary	22	SRC3	SRC3	NotUtilized	191_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
23	Available_NotDeployable	NotUtilized	730	270	730	121	5/15/2013	Primary	23	SRC3	SRC3	NotUtilized	288_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
24	OS_NotDeployable	NotUtilized	1825	270	1825	124	5/18/2013	Primary	24	SRC3	SRC3	NotUtilized	190_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
25	Available_NotDeployable	NotUtilized	730	270	730	128	5/22/2013	Primary	25	SRC3	SRC3	NotUtilized	287_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
26	OS_NotDeployable	NotUtilized	1825	270	1825	133	5/27/2013	Primary	26	SRC3	SRC3	NotUtilized	189_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
27	Available_NotDeployable	NotUtilized	730	270	730	135	5/29/2013	Primary	27	SRC3	SRC3	NotUtilized	286_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
28	Available_NotDeployable	NotUtilized	730	270	730	142	6/5/2013	Primary	28	SRC3	SRC3	NotUtilized	285_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
29	OS_NotDeployable	NotUtilized	1825	270	1825	142	6/5/2013	Primary	29	SRC3	SRC3	NotUtilized	188_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
30	Available_NotDeployable	NotUtilized	730	270	730	149	6/12/2013	Primary	30	SRC3	SRC3	NotUtilized	284_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
31	OS_NotDeployable	NotUtilized	1825	270	1825	151	6/14/2013	Primary	31	SRC3	SRC3	NotUtilized	187_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
32	Available_NotDeployable	NotUtilized	730	270	730	156	6/19/2013	Primary	32	SRC3	SRC3	NotUtilized	283_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
33	OS_NotDeployable	NotUtilized	1825	270	1825	160	6/23/2013	Primary	33	SRC3	SRC3	NotUtilized	186_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
34	Available_NotDeployable	NotUtilized	730	270	730	163	6/26/2013	Primary	34	SRC3	SRC3	NotUtilized	282_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
35	OS_NotDeployable	NotUtilized	1825	270	1825	169	7/2/2013	Primary	35	SRC3	SRC3	NotUtilized	185_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
36	Available_NotDeployable	NotUtilized	730	270	730	170	7/3/2013	Primary	36	SRC3	SRC3	NotUtilized	281_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
37	Available_NotDeployable	NotUtilized	730	270	730	177	7/10/2013	Primary	37	SRC3	SRC3	NotUtilized	280_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
38	OS_NotDeployable	NotUtilized	1825	270	1825	178	7/11/2013	Primary	38	SRC3	SRC3	NotUtilized	184_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
39	Available_NotDeployable	NotUtilized	730	270	730	184	7/17/2013	Primary	39	SRC3	SRC3	NotUtilized	279_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
40	OS_NotDeployable	NotUtilized	1825	270	1825	187	7/20/2013	Primary	40	SRC3	SRC3	NotUtilized	183_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
41	Available_NotDeployable	NotUtilized	730	270	730	191	7/24/2013	Primary	41	SRC3	SRC3	NotUtilized	278_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
42	OS_NotDeployable	NotUtilized	1825	270	1825	196	7/29/2013	Primary	42	SRC3	SRC3	NotUtilized	182_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
43	Available_NotDeployable	NotUtilized	730	270	730	198	7/31/2013	Primary	43	SRC3	SRC3	NotUtilized	277_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
44	Available_NotDeployable	NotUtilized	730	270	730	205	8/7/2013	Primary	44	SRC3	SRC3	NotUtilized	276_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
45	OS_NotDeployable	NotUtilized	1825	270	1825	205	8/7/2013	Primary	45	SRC3	SRC3	NotUtilized	181_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
46	Available_NotDeployable	NotUtilized	730	270	730	212	8/14/2013	Primary	46	SRC3	SRC3	NotUtilized	275_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
47	OS_NotDeployable	NotUtilized	1825	270	1825	214	8/16/2013	Primary	47	SRC3	SRC3	NotUtilized	180_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
48	Available_NotDeployable	NotUtilized	730	270	730	219	8/21/2013	Primary	48	SRC3	SRC3	NotUtilized	274_SRC3_AC	FFGACRoto	FFGACRoto	AC	PreSurge	Proxy	0	FALSE	0	0
49	OS_NotDeployable	NotUtilized	1825	270	1825	223	8/25/2013	Primary	49	SRC3	SRC3	NotUtilized	179_SRC3_NG	RCOpSus	RCOpSus	NG	PreSurge	Proxy	0	FALSE	0	0
